kgld_id,title,alt_names,oblast,district,ccode,latitude,longitude,geometry_captured,observation_years,aat_type,kgld_origin,mchs_catalog_id,basin,mountain_range,record_status,close_match,ramsar_ris,source_note
KGLD-L0038,Arasan Lake 2,Арасан-2,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-55,Ak-Suu-Arasan,,verified_partial,,,Published reference values: elevation 3460 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0039,Arasan Lake 3,Арасан-3,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-56,Ak-Suu-Arasan,,verified_partial,,,Published reference values: elevation 3270 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0040,Upper Arasan Lake 4,Арасан-4 верхнее,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine_glacial,I-82,Ak-Suu-Arasan,,verified_partial,,,Published reference values: elevation 3840 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0041,East Arasan Lake 5,Арасан-5 вост.,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine_glacial,I-83,Ak-Suu-Arasan,,verified_partial,,,Published reference values: elevation 4120 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0042,Upper Ala-Köl Lake,Алакёль-верхнее,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine_glacial,I-23,Karakol,,verified_partial,,,Published reference values: elevation 3600 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0043,West Uyuktor Lake,Уюктор-западное,Issyk-Kul,,KG,,,,2026,aat:300008680,moraine_glacial,I-81,Karakol,,verified_partial,,,Published reference values: elevation 3615 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0044,Sekitor Lake,Секитор,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-57,Boz-Uchuk,,verified_partial,,,Published reference values: elevation 3320 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0045,Geltor-2 Double Lake,Гельтор-2 двойное,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-63,Boz-Uchuk,,verified_partial,,,Published reference values: elevation 3340 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0046,Small Sharkyratma Lake,Шаркыратма малое,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-58,Dzhergez,,verified_partial,,,Published reference values: elevation 3500 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
KGLD-L0047,Large Sharkyratma Lake,Шаркыратма бол.,Issyk-Kul,,KG,,,,2026,aat:300008680,riegel,I-59,Dzhergez,,verified_partial,,,Published reference values: elevation 3450 m. Sources: Ministry of Emergency Situations of the Kyrgyz Republic — Chapter 5: Issyk-Kul Region — forecast of possible activation of outburst-hazardous lakes (2026).
