
+-------+------------+------------+------------------------------------------------------------+-------------+--------------------+
| ISO-3 |   Script   |      Count | ISO Name                                                   | Epitran Key |       Status       |
|  hrv  |   LATIN    |    148,461 | Croatian                                                   |   hrv-Latn  |      EPITRAN       |
|  bre  |   LATIN    |    146,276 | Breton                                                     |   bre-Latn  |    EPITRAN-EXT     |
|  heb  |   HEBREW   |    144,877 | HEB (script default)                                       |     None    |     PHONIKUD?      |
|  und  |   OTHER    |    140,801 | Undetermined                                               |     None    |  NEEDS_DETECTION   |
|  lav  |   LATIN    |    133,419 | Latvian                                                    |   lav-Latn  |      EPITRAN       |
|  vol  |   LATIN    |    127,000 | Volapük                                                    |   vol-Latn  |    EPITRAN-EXT     |
|  urd  |   ARABIC   |    117,751 | Urdu                                                       |   urd-Arab  |      EPITRAN       |
|  sco  |   LATIN    |    116,832 | Scots                                                      |   sco-Latn  |    EPITRAN-EXT     |
|  azb  |   ARABIC   |    116,567 | South Azerbaijani                                          |   azb-Arab  |    EPITRAN-EXT     |
|  mlg  |   LATIN    |    114,180 | Malagasy                                                   |   mlg-Latn  |    EPITRAN-EXT     |
|  swa  |   LATIN    |    114,044 | Swahili (macrolanguage)                                    |   swa-Latn  |      EPITRAN       |
|  ltz  |   LATIN    |    113,807 | Luxembourgish                                              |   ltz-Latn  |    EPITRAN-EXT     |
|  min  |   LATIN    |    112,276 | Minangkabau                                                |   min-Latn  |    EPITRAN-EXT     |
|  kaz  |  CYRILLIC  |    107,889 | Kazakh                                                     |   kaz-Cyrl  |      EPITRAN       |
|  nds  |   LATIN    |    107,787 | Low German                                                 |   nds-Latn  |    EPITRAN-EXT     |
|  afr  |   LATIN    |    105,820 | Afrikaans                                                  |   afr-Latn  |      EPITRAN       |
|  bar  |   LATIN    |    105,174 | Bavarian                                                   |   bar-Latn  |    EPITRAN-EXT     |
|  arg  |   LATIN    |    103,036 | Aragonese                                                  |   arg-Latn  |    EPITRAN-EXT     |
|  ido  |   LATIN    |    102,245 | Ido                                                        |   ido-Latn  |    EPITRAN-EXT     |
|  gla  |   LATIN    |     99,372 | Scottish Gaelic                                            |   gla-Latn  |    EPITRAN-EXT     |
|  kat  |  GEORGIAN  |     98,618 | Georgian                                                   |   kat-Geor  |    EPITRAN-EXT     |
|  isl  |   LATIN    |     97,404 | Icelandic                                                  |   isl-Latn  |    EPITRAN-EXT     |
|  gsw  |   LATIN    |     96,361 | Swiss German                                               |   gsw-Latn  |    EPITRAN-EXT     |
|  cos  |   LATIN    |     91,416 | Corsican                                                   |   cos-Latn  |    EPITRAN-EXT     |
|  zul  |   LATIN    |     90,851 | Zulu                                                       |   zul-Latn  |      EPITRAN       |
|  ina  |   LATIN    |     90,186 | Interlingua (International Auxiliary Language Association) |   ina-Latn  |    EPITRAN-EXT     |
|  srd  |   LATIN    |     90,011 | Sardinian                                                  |   srd-Latn  |    EPITRAN-EXT     |
|  roh  |   LATIN    |     89,961 | Romansh                                                    |   roh-Latn  |    EPITRAN-EXT     |
|  scn  |   LATIN    |     89,821 | Sicilian                                                   |   scn-Latn  |    EPITRAN-EXT     |
|  tgl  |   LATIN    |     89,749 | Tagalog                                                    |   tgl-Latn  |      EPITRAN       |
|  pms  |   LATIN    |     88,824 | Piemontese                                                 |   pms-Latn  |    EPITRAN-EXT     |
|  hin  | DEVANAGARI |     88,207 | Hindi                                                      |   hin-Deva  | EPITRAN (Inferred) |
|  ile  |   LATIN    |     87,062 | Interlingue                                                |   ile-Latn  |      EPITRAN       |
|  ben  |  BENGALI   |     86,859 | Bengali                                                    |   ben-Beng  | EPITRAN (Inferred) |
|  wln  |   LATIN    |     86,751 | Walloon                                                    |   wln-Latn  |    EPITRAN-EXT     |
|  vls  |   LATIN    |     85,718 | Vlaams                                                     |   vls-Latn  |    EPITRAN-EXT     |
|  kon  |   LATIN    |     84,375 | Kongo                                                      |   kon-Latn  |    EPITRAN-EXT     |
|  nrm  |   LATIN    |     83,943 | Narom                                                      |   nrm-Latn  |    EPITRAN-EXT     |
|  wol  |   LATIN    |     82,024 | Wolof                                                      |   wol-Latn  |    EPITRAN-EXT     |
|  lat  |   LATIN    |     81,469 | Latin                                                      |   lat-Latn  |    EPITRAN-EXT     |
|  lim  |   LATIN    |     81,022 | Limburgan                                                  |   lim-Latn  |    EPITRAN-EXT     |
|  nap  |   LATIN    |     79,849 | Neapolitan                                                 |   nap-Latn  |    EPITRAN-EXT     |
|  lij  |   LATIN    |     77,164 | Ligurian                                                   |   lij-Latn  |      EPITRAN       |
|  fur  |   LATIN    |     76,020 | Friulian                                                   |   fur-Latn  |    EPITRAN-EXT     |
|  sqi  |   LATIN    |     75,483 | Albanian                                                   |   sqi-Latn  |      EPITRAN       |
|  kur  |   LATIN    |     75,364 | Kurdish                                                    |   kur-Latn  |    EPITRAN-EXT     |
|  pcd  |   LATIN    |     73,823 | Picard                                                     |   pcd-Latn  |    EPITRAN-EXT     |
|  frp  |   LATIN    |     73,275 | Arpitan                                                    |   frp-Latn  |    EPITRAN-EXT     |
|  mal  | MALAYALAM  |     68,150 | Malayalam                                                  |   mal-Mlym  | EPITRAN (Inferred) |
|  mkd  |  CYRILLIC  |     64,869 | Macedonian                                                 |   mkd-Cyrl  |    EPITRAN-EXT     |
|  mya  |   OTHER    |     62,722 | Burmese                                                    |   mya-Mymr  |    EPITRAN-EXT     |
